[INFO] Scanning for projects...
[INFO] 
[INFO] ----------------------< com.cs122b.team53:songs >-----------------------
[INFO] Building songs 1.0-SNAPSHOT
[INFO] --------------------------------[ war ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.6.0:java (default-cli) @ songs ---
--------------------------------------------
-------------------Parsing------------------
--------------------------------------------

[Duplicate] -TrackMeta- id: 4mL59LVbKgOpEACxraGYdr duration: 236160 ...
[Duplicate] -TrackMeta- id: 19YKaevk2bce4odJkP5L22 duration: 314075 ...
[Duplicate] -TrackMeta- id: 4S7YHmlWwfwArgd8LfSPud duration: 238307 ...
[Duplicate] -TrackMeta- id: 0Gi17qCJh9e9RJxLaYkm9l duration: 260640 ...
[Duplicate] -TrackMeta- id: 1nMYtxDrONcoGnKRvxTwPv duration: 211128 ...
[Duplicate] -TrackMeta- id: 3cjF2OFRmip8spwZYQRKxP duration: 240653 ...
[Duplicate] -TrackMeta- id: 6rJmWa5DvQ3Nby3tdcX2L0 duration: 246088 ...
[Duplicate] -TrackMeta- id: 1mggAh6xgnKUT6ukw3AU9A duration: 303750 ...
[Duplicate] -TrackMeta- id: 5YLHLxoZsodDWjqSgjhBf3 duration: 167553 ...
[Duplicate] -TrackMeta- id: 152lZdxL1OR0ZMW6KquMif duration: 219080 ...
[Duplicate] -TrackMeta- id: 5bgwqaRSS3M8WHWruHgSL5 duration: 228600 ...
[Duplicate] -TrackMeta- id: 6jmTHeoWvBaSrwWttr8Xvu duration: 236480 ...
[Duplicate] -TrackMeta- id: 0X8DcetL926BYiPJYstJTc duration: 239836 ...
[Duplicate] -TrackMeta- id: 7rGAgM8W1ftKjpmSqNlykk duration: 244194 ...
[Duplicate] -TrackMeta- id: 2eAZfqOm4EnOF9VvN50Tyc duration: 221747 ...
[Duplicate] -TrackMeta- id: 3tcoEYOZUHKB3RKNByIN13 duration: 177048 ...
[Duplicate] -TrackMeta- id: 7GX5flRQZVHRAGd6B4TmDO duration: 182707 ...
[Duplicate] -TrackMeta- id: 0PDUDa38GO8lMxLCRc4lL1 duration: 202747 ...
[Duplicate] -TrackMeta- id: 7wBJfHzpfI3032CSD7CE2m duration: 270715 ...
[Duplicate] -TrackMeta- id: 7KZ5MMVgBVox9ycroB2UrI duration: 180183 ...
[Duplicate] -TrackMeta- id: 2xLMifQCjDGFmkHkpNLD9h duration: 312820 ...
[Duplicate] -TrackMeta- id: 4SZepBIPDRwPaHIjAKwRDb duration: 185610 ...
[Duplicate] -TrackMeta- id: 1xYpVRspgaLxdJLOTQkTjg duration: 338438 ...
[Duplicate] -TrackMeta- id: 6OaVWaGfhXn70ZJfdVcabn duration: 218284 ...
[Duplicate] -TrackMeta- id: 6NMtzpDQBTOfJwMzgMX0zl duration: 145588 ...
[Duplicate] -TrackMeta- id: 20MuVazoNMv6xjKPnRFOxG duration: 231964 ...
[Duplicate] -TrackMeta- id: 11kDth1aKUEUMq9r1pqyds duration: 196138 ...
[Duplicate] -TrackMeta- id: 6BJbOXDlgVAXSaq6wYFYT2 duration: 156886 ...
[Duplicate] -TrackMeta- id: 4MXhiYIRDMGAuvZc5IFTwC duration: 142969 ...
[Duplicate] -TrackMeta- id: 7lAK3oHbfEnvUQWosrMMpR duration: 150043 ...
[Duplicate] -TrackMeta- id: 27a1mYSG5tYg7dmEjWBcmL duration: 198408 ...
[Duplicate] -TrackMeta- id: 4KYS9GK68yeuUJ8vJfPxrq duration: 176720 ...
[Duplicate] -TrackMeta- id: 2cYqizR4lgvp4Qu6IQ3qGN duration: 190557 ...
[Duplicate] -TrackMeta- id: 58TaFP5j5i9swOf584yon2 duration: 217828 ...
[Duplicate] -TrackMeta- id: 6vnfObZ4Ys70SBAtti1xZ9 duration: 209116 ...
[Duplicate] -TrackMeta- id: 5yuShbu70mtHXY0yLzCQLQ duration: 179613 ...
[Duplicate] -TrackMeta- id: 3a1lNhkSLSkpJE4MSHpDu9 duration: 220293 ...
[Duplicate] -TrackMeta- id: 3fpVWegR6YOS1Yk5HSMYIq duration: 221787 ...
